I	4357	5194	-
I	5295	6036	-
I	6326	9726	-
I	9845	10094	-
I	10584	11617	+
I	11556	11617	+
I	11560	11617	+
I	11560	11622	+
I	11688	14950	+
I	15159	16472	+
I	16584	16701	+
I	17957	18005	-
I	18114	19014	-
I	19240	20270	-
I	20477	20847	-
I	20963	21012	-
I	21138	24650	-
I	24844	24928	-
I	25089	25272	-
I	25471	26370	-
I	26523	26589	-
I	26680	26732	-
I	26689	26732	-
I	28108	28149	-
I	28404	29099	-
I	29366	29768	-
I	30423	31768	-
I	32071	32411	-
I	43960	44029	+
I	44233	44280	+
I	44323	44371	+
I	44467	44520	+
I	47609	47695	+
I	47857	48347	+
I	48529	49250	+
I	50015	50814	+
I	51029	52282	+
I	52409	52465	+
I	52571	53265	+
I	53336	53390	+
I	53694	53943	+
I	55449	55889	-
I	56046	56123	-
I	56292	56536	-
I	56686	56871	-
I	57052	57256	-
I	57624	59044	-
I	60235	61235	-
I	62050	62773	-
I	62973	63796	-
I	63855	63903	-
I	63971	64017	-
I	71931	72510	+
I	72589	72646	+
I	72896	72940	+
I	73016	73604	+
I	73765	74624	+
I	74807	75170	+
I	75489	75950	+
I	76111	76948	+
I	77152	77712	+
I	77798	79312	+
I	79446	80305	+
I	80560	80813	+
I	81271	81884	+
I	81962	82015	+
I	82136	82585	+
I	82675	83180	+
I	83419	84189	+
I	84312	84387	+
I	84566	84613	+
I	85353	85440	-
I	85620	86096	-
I	86903	87033	+
I	87222	87519	+
I	87733	88267	+
I	88499	88565	+
I	88705	89371	+
I	89583	90418	+
I	90791	90821	+
I	90871	90967	+
I	91593	92522	+
I	93135	93181	+
I	93555	93608	+
I	94014	94063	+
I	94207	94268	+
I	94567	94621	+
I	95117	95236	-
I	96991	97599	-
I	97959	98294	-
I	99057	99628	-
I	99788	100138	-
I	100337	100394	-
I	101732	102447	-
I	103215	104439	-
I	104712	105435	-
I	105620	106015	-
I	106454	106677	-
I	106818	107355	-
I	107547	107595	-
I	109445	109491	-
I	109782	109834	-
I	109955	110004	-
I	111064	111160	+
I	111259	111509	+
I	111706	111754	+
I	111970	112018	+
I	112266	112411	+
I	112480	112526	+
I	112651	112699	+
I	113381	113425	+
I	113526	113595	+
I	113862	114084	+
I	114422	114543	+
I	115914	116431	+
I	116665	116718	+
I	116973	117085	+
I	118207	118552	+
I	118952	119570	+
I	119899	119945	+
I	120184	120241	+
I	120377	120487	+
I	120709	120762	+
I	127335	127384	+
I	127435	128696	+
I	128895	128944	+
I	129123	129166	+
I	129123	129175	+
I	129332	132102	+
I	132552	132611	+
I	132692	133413	+
I	134427	134505	+
I	134580	135548	+
I	135897	136234	+
I	136711	137208	+
I	137885	138016	+
I	138142	138192	+
I	138350	138392	+
